CustomerID,Age,Gender,Region,No.ofProductsPurchased,TotalSpend(Annually),CreditScore,MaritalStatus,LoyaltyStatus,TransactionFrequency(per month)
1,56,Male,South,16,1926.0796061456867,652,Single,New,2
2,69,Female,North,29,53238.3876496829,502,Divorced,Platinum,13
3,46,Female,North,6,7521.609708627517,525,Married,New,2
4,32,Male,East,26,82017.10764520368,379,Divorced,Platinum,13
5,60,Male,South,11,28424.03896338988,609,Single,Silver,6
6,25,Female,West,24,75982.74779003226,334,Divorced,Platinum,14
7,38,Female,North,29,5770.219829744504,460,Single,New,2
8,56,Female,East,3,17070.178355765507,734,Married,New,2
9,36,Female,South,10,13233.975763532511,837,Single,New,2
10,40,Female,North,1,51845.62277109663,524,Single,Platinum,12
11,28,Female,South,43,34600.916514381155,745,Married,Gold,9
12,28,Female,South,26,34760.26823792733,616,Single,Gold,11
13,41,Male,North,12,20034.882754172908,713,Single,Silver,5
14,53,Female,North,14,29151.940995606943,394,Married,Silver,4
15,57,Female,North,25,27072.64197994722,524,Single,Silver,3
16,41,Male,South,8,9423.606206846729,365,Single,New,1
17,20,Female,South,43,49972.19180226001,696,Divorced,Gold,8
18,39,Female,East,4,38675.58008174089,509,Single,Gold,9
19,19,Male,West,28,18406.09975020457,773,Single,Silver,4
20,41,Female,South,7,41200.08322510498,789,Single,Gold,11
21,61,Male,West,10,28217.01620922178,479,Married,Silver,5
22,47,Male,North,36,14657.318610145783,823,Single,New,1
23,55,Male,South,2,40107.98605144507,758,Married,Gold,10
24,19,Male,East,26,2209.9519533504404,367,Married,New,2
25,38,Female,East,14,4784.09943310985,628,Single,New,1
26,50,Male,West,16,37739.89619617156,501,Single,Gold,11
27,29,Male,North,43,67584.42514327249,774,Single,Platinum,12
28,39,Female,West,42,28309.480048863,817,Single,Silver,5
29,61,Male,North,17,31186.02866424666,314,Single,Gold,8
30,42,Male,East,46,9749.324646076122,341,Single,New,1
31,66,Male,West,22,15123.70237909704,842,Single,Silver,6
32,44,Male,East,4,9510.346125548282,588,Married,New,1
33,59,Female,East,19,23220.712542578152,832,Divorced,Silver,7
34,45,Male,North,2,44048.90488800232,543,Married,Gold,11
35,33,Female,West,39,2684.1956472561087,473,Single,New,1
36,32,Female,West,9,24813.173085249105,833,Divorced,Silver,7
37,64,Male,East,19,28229.36502791599,808,Divorced,Silver,7
38,68,Male,East,16,32789.60279667303,543,Single,Gold,8
39,61,Male,North,25,16906.22418409935,359,Single,Silver,4
40,69,Male,South,48,19559.66863724209,403,Married,Silver,5
41,20,Female,South,18,2455.533032278583,602,Divorced,New,2
42,54,Female,East,23,32212.91696186694,376,Divorced,Gold,9
43,68,Female,South,21,43566.380719705834,317,Single,Gold,8
44,24,Male,South,11,12138.266139124908,833,Single,New,1
45,38,Female,South,39,83350.7449700993,483,Divorced,Platinum,13
46,26,Male,South,41,18619.292271158163,849,Divorced,New,1
47,56,Male,East,4,6868.223122717005,580,Single,New,1
48,35,Male,South,25,55968.35349577005,587,Single,Platinum,13
49,21,Male,South,32,23603.663610711676,824,Single,Silver,5
50,42,Male,North,30,37872.573684231014,773,Married,Gold,9
